joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.106748,-0.149498,-0.039973,0.076120,-0.121867,-0.034771,0.171582,-0.127695,0.261058,0.201169,0.286010,-0.156079,-0.244949,-0.128072,-0.203163,0.421786,-0.408588,-0.060143,0.054753,-0.499669,0.690864,1.158699,1.165503,0.152462,-0.096907,-0.009613,-0.048332,-0.052802,0.072681
-0.125075,-0.167726,-0.040198,0.074821,-0.126635,-0.035828,0.167511,-0.130429,0.280339,0.222055,0.310958,-0.178981,-0.263224,-0.133399,-0.211853,0.424153,-0.410178,-0.057799,0.054128,-0.504772,0.691506,1.164160,1.163299,0.149152,-0.094771,-0.009686,-0.050676,-0.051268,0.066571
-0.145251,-0.187393,-0.040227,0.073810,-0.131159,-0.036501,0.163230,-0.132949,0.300520,0.244301,0.336008,-0.204096,-0.283530,-0.138783,-0.220081,0.426465,-0.411294,-0.055507,0.053745,-0.511063,0.692488,1.169538,1.162528,0.145628,-0.093377,-0.009397,-0.052997,-0.050097,0.060995
-0.167121,-0.208904,-0.040401,0.072935,-0.135628,-0.036902,0.159447,-0.135071,0.321241,0.266843,0.361186,-0.231285,-0.306781,-0.143935,-0.227963,0.428347,-0.411968,-0.053508,0.053480,-0.517915,0.693989,1.174279,1.163060,0.142014,-0.092958,-0.008937,-0.054834,-0.049247,0.056184
-0.189838,-0.231338,-0.040647,0.072128,-0.140071,-0.037167,0.155914,-0.136995,0.342232,0.289531,0.386427,-0.259510,-0.331505,-0.148970,-0.235671,0.429911,-0.412175,-0.051655,0.053276,-0.525049,0.695749,1.178700,1.164243,0.138354,-0.093027,-0.008390,-0.056429,-0.048557,0.051754
-0.214831,-0.256797,-0.040367,0.071725,-0.144361,-0.037494,0.153390,-0.137186,0.362926,0.312854,0.411982,-0.289617,-0.359312,-0.154010,-0.242824,0.430932,-0.412160,-0.050206,0.053249,-0.531742,0.698493,1.181073,1.166100,0.133953,-0.094969,-0.008053,-0.056985,-0.047264,0.047897
-0.240475,-0.283444,-0.040047,0.071351,-0.148559,-0.037990,0.151436,-0.136655,0.383400,0.336234,0.437643,-0.319989,-0.388005,-0.159183,-0.249577,0.431551,-0.411769,-0.048709,0.053275,-0.537761,0.701215,1.182598,1.167219,0.129084,-0.097361,-0.008114,-0.057266,-0.045307,0.043925
-0.267420,-0.312469,-0.039649,0.071035,-0.152575,-0.038823,0.150621,-0.134678,0.403435,0.359726,0.463516,-0.350892,-0.418473,-0.164620,-0.255528,0.431549,-0.411118,-0.047113,0.053406,-0.542431,0.703896,1.182429,1.166864,0.123277,-0.100652,-0.008970,-0.056996,-0.042019,0.039724
-0.295986,-0.343834,-0.039771,0.070923,-0.156221,-0.040258,0.150667,-0.131101,0.422515,0.383197,0.489930,-0.381723,-0.450090,-0.169970,-0.260958,0.431250,-0.410124,-0.045266,0.053577,-0.545915,0.706029,1.180774,1.162813,0.115747,-0.102376,-0.010867,-0.057670,-0.037260,0.034411
-0.325362,-0.376369,-0.040152,0.070913,-0.159682,-0.041993,0.151142,-0.126724,0.441118,0.406660,0.516614,-0.412519,-0.482283,-0.175275,-0.266126,0.430458,-0.408118,-0.043293,0.053768,-0.548805,0.707888,1.178376,1.156915,0.107356,-0.103315,-0.013285,-0.058816,-0.031766,0.028541
-0.356422,-0.410757,-0.041487,0.070379,-0.163230,-0.045021,0.151820,-0.120639,0.457477,0.431536,0.543854,-0.442583,-0.514389,-0.181110,-0.270934,0.429457,-0.405521,-0.040849,0.054265,-0.550911,0.710166,1.176559,1.146274,0.097258,-0.102121,-0.017003,-0.062942,-0.025845,0.021818
